,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3723,0.2123259703318278,0.003915375389184697,0.01734304428100586,6.948282626878904e-05,45,sqrt,220,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 220}",-2.906021919265013,-2.443461719842304,-2.2361406770470373,-2.5285414387181184,0.2800168311511116,861
3724,0.2060405413309733,0.0134799390531827,0.016474485397338867,0.0007165745920819693,45,sqrt,225,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 225}",-2.902723706096942,-2.4222493616058096,-2.2597597337664475,-2.5282442671563996,0.27297967864630657,830
3725,0.20790759722391763,0.008435994303983792,0.01700274149576823,0.0009106538067206247,45,sqrt,230,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 230}",-2.9069513709277324,-2.423327668508022,-2.252904921337554,-2.527727986924436,0.2770303947457342,806
3726,0.22986714045206705,0.0031652242739752057,0.01871013641357422,0.0001009977797507054,45,sqrt,235,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 235}",-2.927590694427619,-2.410291031427099,-2.2546323910447166,-2.530838038966478,0.2876536172702891,971
3727,0.21161516507466635,0.0005217531664334671,0.017062822977701824,0.00018245552835469223,45,sqrt,240,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 240}",-2.9361694489275902,-2.3794759584305707,-2.2699486292777493,-2.5285313455453036,0.291691248245662,852
3728,0.2313563028971354,0.0108771292441962,0.018372297286987305,0.0006461228831104182,45,sqrt,245,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 245}",-2.9408545837989983,-2.3860646813481323,-2.2893595829383173,-2.5387596160284827,0.287051959691844,1179
3729,0.23049179712931314,0.0069604206370268845,0.018405914306640625,0.00046229040742501773,45,sqrt,250,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 250}",-2.940680277769743,-2.386051706028578,-2.3001079984261144,-2.542279994074812,0.28388808799157195,1352
3730,0.2245650291442871,0.0006038815515472505,0.018038193384806316,0.0002011945187727333,45,sqrt,255,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 255}",-2.9255909138137275,-2.3793436187913874,-2.2983442059334864,-2.534426246179534,0.2785648627338082,1046
3731,0.24843780199686685,0.002263005573092977,0.01985486348470052,8.690705144876906e-05,45,sqrt,260,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 260}",-2.9481505630092246,-2.3734661281388427,-2.308754645381594,-2.543457112176554,0.2873783636721247,1406
3732,0.2506972948710124,0.0007808638173413382,0.020194530487060547,4.7204470332201316e-06,45,sqrt,265,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 265}",-2.9398992840718776,-2.3664482053932474,-2.3040238109001723,-2.5367904334550992,0.28617798697214286,1108
